src_blockchain,src_tx_hash,dst_blockchain,dst_tx_hash
bnb,0x1de0e413e50e3bf90d3d456dc39665a62f2c0c91f5208c0b619fb2a301931de6,ethereum,0x3c14ad4bddb2e39c75c6235c0048ae3a34b2f74d969c5c4ca718e866712177e2
bnb,0x534f5b039fc41ef127d63b2eb1151bdedd6462f2310f31a8c7fd867fa48eaadc,ethereum,0x97cfa0350792545db022f8749c7c8590a19db20e897764ba0f0f0a42938f09a0
bnb,0x825997bb7056cbd6e8752220182fdd7cb07754f28019137c22d5a977f51f0c84,ethereum,0x9f5d1a603211545d60942ceb29bb398517fa3eaeac3f6fe13df7330975d85bc8
bnb,0xebbf2f0f3e090e9f52ad165e436262202f4c9f189950029876347d611f1c0c02,ethereum,0x6fded954d809818107ea644fa64a0e864323a1ff1616dcef034cf4d0c58e2938
bnb,0x41d879a7c9fffd7d2233b768a6a6c57c5101b90a3085e43f8805b7d024006e57,ethereum,0x04983b490ac56be4ed14f4efaa26d42884afcfb6f7517b88b689e2e4e6608a53
bnb,0x5a03f66c3d0fbfcca44471722df9677f499df6cc17d7ce8a3ed535ce1b61ef71,ethereum,0xed9f3b66c26606571944e9c6dd6218a4c72ad740592be8c78ff8bc59182dc657
bnb,0x8966c1b460d079a1d97975a4918159aa329dbe3511903a4be932c9397093a7f2,ethereum,0xfe22dbce02e273cce77368a8eaea294d333ede116c555729e64f7c0ed268f668
bnb,0x2b7638867e259a0a7069d4a7d027abc01dfd83a13136321a60bef9fafaef8171,ethereum,0x3d9c3d69aea0d3a211672d34ee0767d9e2db0baf0f7be8525475e3cd0f3b85f4
bnb,0x46cd5931327944858a4e2ff086626173765741dd07857610d5fe0aba07b6438a,ethereum,0xcbb7500000cff1325339fc062f0fb5eea8070169c31e9fc797b34b18b7bae5dd
bnb,0x9dfb6a9d3eda6a05b4e4cf75b78786ed8a8f03448dd8834799012dc45e1d7ae0,ethereum,0x737202cfb06ee858bbb893a350b0756ee257ed3ce00a5d952b75dc296ddc0775
bnb,0xbaf63a09bcaa2b8b2ae90d95d1851461e5f8c3bd28eaf758020aa873d5ed4b34,ethereum,0x5b82cb42085c7bb20c7aa2289a2ac9b7b0358b065f23e7806b2defebe02dfa6e
bnb,0xa0faf4b99afb99279cd63cccc2e94bb26330a470b17bb7603edffc4cfe4ad616,ethereum,0x3aab150c38038be1c8be387677d7e24a74f2b5ac6979c74109854affc6e99a87
bnb,0xdac51febff374f822f2fe9942a2023c339c3d985c923afe1fe2042d002f206a3,ethereum,0xc6245cb7c9bf44b206fef1ed934a449dc3e259d946d477b170937f6e24dce992
bnb,0xc87516eb5e11a16c6d22a1b1146223f82a335bbe1bd3f8e56042683f9d647281,ethereum,0x1fdee81a6b4e28bd51fe514bc6680239b7a5658f4f7f833ce7f8fd2635390cfb
bnb,0xb29f951ad61af385c0e00791edbc138a8decf014f3c8ab25cac3a320ab829d4a,ethereum,0xda3fc22284cdbae46a7d0c8b7b06fd5d04a6854bcb9365c4e80c6b487f551f39
bnb,0x359eec72aad568bf9317f382767bae582fe49eaac5357159fdfcffb8925ec11b,ethereum,0x3989f3dd857805dae957d667723e618651e6bdbeddb4b0f3ea3560f9c451d922
bnb,0x39b7047a5792d5bd09d2cf07604bac33af97df1d2992cd5e0773249db91ee63d,ethereum,0x120da2ca5df2b63e83c35c177a96e2f0823a4f0370058e7a68c931f8a2916353
bnb,0x6da2bc1a71c6ab253714ee9f0c435405dee86463c48d01350e6e40a4b513922b,ethereum,0x90b32ac538879de81de1e06d60e5ca14ba4ddf3da5660e70c7abea2e4871f531
bnb,0x46513c845ec0f1b8c27179ca3174cceb5e1575fba2de0442659627a3400f5a7e,ethereum,0x664f288bb89d50343aa07b51337cc0eb957798c701e9bc5392494ab8a1d0a583
bnb,0x11c89f3c4dec91076e048ca73df6066b289c7ae7d563af81375af26d61d14ecf,ethereum,0x7ed87ca812695ffb8c0817a12519355ebfaa2ee6ed6d04adf66984d98a4f0421
bnb,0xf0607804f0bd373950b5ceb083946a04be8b8763d15994f33fdf0d6de0bb1af8,ethereum,0x8d67be38dd17d2003dd1df01344de6b29999fe311bc45dc824fa6a88590a5ce4
bnb,0x1b1bd3085534b02df8273ebc7b212b0e34f098d1d2b39ce3bd0a893ea11c96a9,ethereum,0x32dc86c29df5bdf7b3f304ab148362549d506999a3599d91bb40206942204d15
bnb,0x3ce349d6f0487fc0bd063b4f19ca1d37e65a421b7dda7ffa457dd1060a905fc8,ethereum,0xad0b9288de49c20dccec5de0e9bb55ea4cbca52293c5c73aa2dc9bc408d60207
